,kepid,tce_plnt_num,tce_period,tce_period_err,tce_time0bk,tce_time0bk_err,tce_duration,tce_duration_err,av_training_set
13676,9468382,1,11.0827,1.45e-05,136.651,0.00104,4.567,0.226,AFP
5387,5272673,2,0.825059,1.46e-05,131.832,0.00653,1.091,0.427,AFP
19621,11771430,1,40.0307,0.000251,148.857,0.00536,4.847,0.519,PC
9381,6509328,1,1.40841,0.000188,131.865,0.0671,3.764,56.7,NTP
19102,10525592,1,4.08143,1.62e-05,135.327,0.00245,7.512,0.456,AFP
271,2859299,2,0.643679,1.42e-05,131.68,0.00247,1.023,0.146,AFP
13155,8460600,2,3.17604,1.86e-06,134.207,0.000352,3.396,0.111,UNK
16759,9752982,1,0.71672,2.29e-06,132.046,0.000334,1.179,0.0269,AFP
14719,9159275,1,3.04476,9.76e-06,132.439,0.00206,3.954,0.0912,AFP
19413,12266636,1,33.3856,0.000125,148.927,0.00311,4.951,0.75,PC
2247,4445630,1,2.81396,0.0,133.105,0.0,4.5,0.0,UNK
7866,7049860,1,3.1901,3.69e-05,132.494,0.00684,8.77,1.54,AFP
18834,10853783,1,0.680843,9.93e-06,132.141,0.00434,4.318,16.1,UNK
13857,9455556,1,6.62643,1.37e-05,137.603,0.00163,3.218,0.438,PC
16705,9778742,1,0.57374,1.04e-05,131.609,0.00122,1.608,0.403,UNK
4648,5521686,2,514.528,0.0148,383.467,0.0219,8.459,1.56,UNK
15471,10019065,1,52.6298,0.000298,155.612,0.00469,6.359,0.467,PC
8432,7117491,1,0.566765,1.31e-05,131.862,0.00375,2.12,4.78,NTP
16100,10198662,2,5.16389,2.5e-05,134.95,0.00332,14.55,1.86,AFP
14597,9157634,2,2.10469,2.7e-05,133.163,0.00897,7.459,2.88,AFP
2688,4552395,1,4.4297,0.000162,135.293,0.0264,12.85,10.4,AFP
17114,9651065,3,0.678405,0.0,131.537,0.0,2.5,0.0,AFP
18376,10550397,1,1.26528,3.71e-05,131.607,0.013,3.539,7.92,UNK
3824,5648562,2,1.00547,1.26e-05,131.737,0.00228,3.415,2.09,NTP
12972,8458662,1,3.76786,3.78e-05,133.598,0.0064,7.269,1.99,AFP
15793,10129349,2,6.23315,4.38e-05,132.187,0.00486,14.85,4.45,AFP
9113,6786037,1,127.904,0.000325,246.461,0.00186,14.16,0.142,PC
8473,7025526,1,1.0741,5.17e-06,131.697,0.00104,1.152,0.0773,AFP
9577,6619815,1,65.9408,0.000698,166.029,0.00835,7.712,1.62,PC
2462,4736562,1,0.522097,6.84e-05,131.76,0.00729,0.8706,0.899,AFP
13843,9345771,1,1.04582,1.55e-05,132.046,0.00592,3.374,5.98,AFP
4988,5003342,2,0.923713,9.97e-06,132.18,0.00338,2.848,3.42,AFP
11398,7431838,5,1.01232,1.15e-05,131.837,0.00365,3.396,1.07,NTP
5902,6186964,1,2.16454,5.84e-06,131.841,0.0012,1.441,0.383,PC
4177,5603049,1,0.585605,6.88e-06,132.02,0.00136,1.5,1.12,AFP
6791,6044064,1,5.06316,0.0,133.711,0.0,10.5,0.0,AFP
7536,5736461,2,7.34615,4.47e-07,132.706,5.08e-05,6.841,0.00331,AFP
5890,6100469,1,478.714,0.0115,150.342,0.0132,8.928,3.51,UNK
9094,6632383,1,0.899898,1.97e-05,132.363,0.00764,3.433,11.8,UNK
18816,10664416,1,50.647,0.00153,163.824,0.0238,52.55,1.37,AFP
2311,4482231,2,0.631502,7.43e-06,132.127,0.00195,2.051,0.757,AFP
8823,6891512,1,1.75256,0.0,132.719,0.0,2.5,0.0,AFP
2295,4908774,1,459.286,0.0517,260.241,0.0654,4.6,3.22,NTP
18016,11090556,2,4.13828,2.36e-05,133.228,0.0039,3.38,0.127,PC
8816,6859801,2,10.8826,4.04e-05,136.48,0.00324,3.525,0.355,AFP
16064,10419211,1,11.5214,1.9e-06,136.275,0.000131,3.619,0.0116,AFP
8040,7021681,1,27.522,3.21e-05,134.78,0.000943,4.306,0.1,PC
10768,7767367,4,0.842986,0.0,131.842,0.0,1.5,0.0,AFP
3817,5617535,1,0.977558,9.22e-06,132.144,0.00169,2.78,1.43,NTP
6889,5866724,2,2.1549,2.18e-06,133.504,0.000509,3.082,0.0449,PC
16274,10140122,1,0.849371,8.23e-06,132.133,0.00183,1.418,0.277,PC
10566,7595928,1,1.49812,1.33e-05,131.826,0.00433,4.498,2.34,UNK
15145,9147012,1,116.452,0.00173,162.004,0.0165,16.28,1.45,PC
19660,12301181,2,2.18573,1.05e-05,132.439,0.00221,1.536,0.117,PC
12720,8454553,2,0.562031,0.642,131.566,89.8,0.7206,832.0,UNK
8344,6955671,1,12.6878,0.000122,136.154,0.00842,3.779,0.782,PC
19808,11820820,2,1.12156,1.77e-05,132.473,0.00574,3.043,4.75,UNK
16527,9812351,2,0.754656,1.09e-05,132.208,0.0188,4.958,31.4,AFP
20239,11905011,1,5.65177,1.03e-05,132.72,0.00129,2.942,0.0649,PC
20191,12020218,1,21.3588,9.94e-05,135.067,0.0039,6.076,0.47,PC
12610,8212251,2,1.54866,1.31e-05,132.731,0.00529,2.623,0.0939,AFP
5229,4939533,1,5.77216,3.04e-05,134.923,0.00397,2.592,0.401,PC
19193,10736591,1,0.516844,9.25e-06,131.907,0.000795,1.357,0.148,UNK
4858,4936284,1,459.185,0.0233,260.299,0.0364,6.459,4.64,NTP
14563,8938257,1,0.623785,1.03e-05,131.724,0.00176,2.031,1.55,UNK
18755,10663294,2,3.80032,2.93e-05,131.556,0.00499,4.138,0.37,NTP
17126,9713213,2,4.63814,8.76e-05,133.363,0.0132,10.58,2.93,UNK
9093,6631721,1,13.7381,1.98e-05,134.438,0.00122,3.315,0.0763,AFP
196,2308603,1,459.313,0.0109,260.213,0.0158,6.118,2.36,NTP
18286,11413125,3,1.47515,2.62e-05,132.177,0.0169,6.018,8.12,AFP
604,2710623,1,0.510487,1.65e-05,131.629,0.00562,2.408,13.1,AFP
18172,11497958,2,19.8503,6e-05,133.65,0.00249,2.937,0.49,PC
848,3103473,1,1.92005,8.62e-06,131.73,0.00189,1.483,0.128,PC
6981,6063448,1,76.0181,1.41e-05,139.943,0.000144,13.46,0.00828,AFP
3842,5443837,1,3.6585,5.52e-07,133.959,9.99e-05,2.505,0.00884,PC
4673,5636648,1,0.933479,4.73e-06,132.108,0.000664,0.6652,0.0478,AFP
6824,5817210,1,3.2822,5.93e-05,132.519,0.0111,8.438,5.85,NTP
15005,8985157,3,2.05481,2.21e-05,131.563,0.00639,4.894,3.12,AFP
8427,7115291,1,52.8028,6.99e-06,167.27,0.000103,5.608,0.00844,AFP
8426,7115249,1,0.566777,0.00146,131.919,1.3,3.096,1220.0,NTP
5581,5372966,2,4.64318,6.64e-06,134.812,0.000985,2.807,0.291,UNK
8200,7212722,1,2.31617,1.37e-08,132.312,3.62e-06,3.94,0.00102,UNK
3655,3865991,2,0.589139,1.16e-05,131.821,0.00163,2.055,1.27,AFP
1776,3339538,1,14.658,2.09e-07,140.476,1.14e-05,3.056,0.000973,UNK
14547,9228115,2,2.03785,1.09e-05,132.545,0.00214,1.183,0.408,UNK
11739,8766285,1,5.29759,5.48e-05,135.565,0.0079,13.37,4.59,AFP
12961,8396062,1,0.673098,7.12e-06,132.042,0.00107,1.879,0.334,UNK
8358,7045280,2,1.01919,1.94e-05,131.772,0.0038,2.294,1.33,NTP
11718,8645874,2,1.21766,5.25e-06,132.703,0.00302,2.786,0.428,AFP
14890,9032551,1,1.94487,2.16e-05,132.851,0.00583,4.124,3.08,NTP
405,2708176,1,1.89129,1.87e-05,132.67,0.00548,4.393,2.4,AFP
9634,7866921,1,91.5001,3.92e-05,182.769,0.000355,19.57,0.0192,AFP
298,2558488,1,1.28785,3.06e-05,132.403,0.0121,3.514,1.33,NTP
255,2579147,3,7.35317,3.9e-05,132.269,0.00375,15.04,0.204,AFP
2569,4576968,1,0.566496,1.37e-05,131.713,0.00191,1.319,1.15,UNK
13571,9542697,1,0.585717,6.45e-06,131.79,0.00167,2.05,1.8,NTP
5034,5308851,1,1.97679,2.89e-05,131.704,0.00798,6.203,7.96,UNK
9829,7975727,2,22.4183,5.8e-05,143.017,0.00221,3.911,0.381,AFP
2187,4480676,1,0.711964,5.52e-07,132.088,9.23e-05,1.332,0.0228,AFP
17875,11449844,1,38.4788,4.05e-06,151.853,9.09e-05,5.045,0.00954,AFP
9398,6614748,1,383.846,0.011,426.606,0.0203,11.02,1.75,UNK
8215,6946158,1,1.56126,1.84e-05,132.383,0.00562,4.453,0.862,NTP
15805,10220150,4,1.1654,1.1e-05,132.57,0.0048,1.435,0.18,UNK
12902,8415928,1,0.622499,8.36e-06,132.014,0.00158,1.804,0.249,UNK
19323,12833566,1,0.896375,5.27e-06,131.597,0.00112,1.878,0.14,NTP
8877,6860836,2,1.06695,1.53e-05,132.046,0.00485,3.108,1.07,AFP
886,3560660,1,0.520157,7.05e-06,131.587,0.00122,1.573,0.51,AFP
17202,9824673,1,0.744292,1.87e-05,132.236,0.00185,1.966,0.254,UNK
3152,4274730,1,0.71214,1.05e-05,131.666,0.00391,2.212,4.56,AFP
12516,8351778,1,1.03044,8.4e-06,131.533,0.00132,3.467,0.984,AFP
9265,6531496,1,14.324,4.5e-06,135.221,0.000352,4.981,0.00814,AFP
19143,10858691,3,5.91432,3.18e-05,133.485,0.004,2.826,0.419,PC
496,2446623,1,175.066,6.63e-05,179.044,0.000336,4.526,0.0274,AFP
13504,9530945,2,7.69361,1.9e-05,138.038,0.0019,5.232,0.179,PC
4246,5623833,1,0.566802,1.93e-05,131.814,0.005,1.85,5.14,NTP
2971,4271063,2,0.987016,9.6e-06,131.75,0.00133,2.127,0.249,AFP
7743,7102227,1,36.7705,0.000117,164.292,0.00254,4.481,0.472,PC
19754,11912932,1,3.74788,2.09e-05,134.176,0.00381,3.586,0.151,AFP
7953,7255336,1,1.2032,8.44e-08,131.522,1.94e-05,1.697,0.00203,AFP
3867,5542466,3,4.74673,2.37e-05,134.625,0.00343,2.139,0.83,PC
11119,7670485,1,4.23386,2.16e-07,135.176,3.78e-05,4.263,0.00194,UNK
8127,7125636,1,6.49066,1.24e-07,132.068,1.52e-05,3.481,0.00229,UNK
11385,7336640,1,610.393,0.00916,191.701,0.0127,12.09,0.724,NTP
6537,6359320,1,5.32661,1.37e-05,133.415,0.00205,3.452,0.403,PC
19215,10963065,1,2.46502,4.54e-06,132.681,0.0008,1.29,0.029,PC
1866,4862625,2,20.0002,2.85e-05,142.675,0.00118,5.319,0.059,AFP
12460,8710207,2,3.9261,2.45e-05,131.535,0.00807,4.063,0.341,AFP
10500,7973404,1,0.684434,1.38e-05,132.0,0.00493,2.467,9.59,NTP
18427,10489265,2,0.788238,1.6e-05,132.249,0.00849,2.092,0.355,UNK
14977,9214715,2,265.298,0.000767,316.92,0.00186,8.588,0.187,AFP
16932,9655433,2,0.569109,1.69e-05,131.689,0.00284,1.591,0.358,AFP
14533,9119402,2,1.12566,1.05e-05,132.256,0.0014,3.509,1.36,UNK
8178,7107567,1,0.812608,4.33e-07,131.533,6.07e-05,0.8951,0.0151,AFP
11007,7708315,1,1.50769,1.66e-05,131.9,0.00586,4.024,2.73,AFP
2982,3830820,1,15.5828,2.65e-06,135.113,0.000146,3.934,0.0114,AFP
15689,10295951,1,6.81082,1.77e-06,136.047,0.000194,7.854,0.0138,AFP
4398,5478766,3,3.133,0.000382,132.4,0.0668,9.222,2.07,AFP
4214,5470851,1,12.4253,0.000292,141.678,0.0192,11.79,0.717,AFP
17234,9652632,1,2.48881,1.43e-08,132.125,4.25e-06,5.676,0.00126,UNK
6296,6366617,3,1.19537,1.47e-05,131.729,0.00698,3.482,0.524,UNK
18649,10797460,1,9.48803,2.38e-05,132.589,0.00199,3.001,0.393,PC
8366,7110077,1,0.971643,1.12e-05,131.721,0.00406,3.628,4.92,UNK
10924,7582689,2,6.80271,5.86e-05,138.031,0.00665,4.772,0.195,PC
16067,10419797,1,87.1447,0.00139,169.206,0.0127,20.46,0.848,UNK
7767,7220338,2,2.02379,2.94e-05,132.595,0.00679,5.187,3.12,AFP
412,2718630,1,0.779388,6.03e-06,131.848,0.00215,2.671,2.07,UNK
13403,8197788,1,0.610104,1.57e-05,131.517,0.00254,1.785,1.93,AFP
8630,6851827,1,5.08543,0.000106,132.037,0.0155,14.26,7.28,NTP
2266,4636464,2,3.6562,4.37e-05,134.97,0.00794,10.26,4.23,AFP
2567,4575908,1,0.687877,1.35e-05,132.212,0.0065,2.742,14.6,UNK
1043,3326428,2,3.85039,1.21e-05,132.556,0.00198,4.802,0.132,NTP
7474,5724523,3,1.1398,1.39e-05,132.341,0.00323,1.816,0.574,UNK
2444,4639868,1,53.1009,3.06e-06,135.972,4.43e-05,2.281,0.00504,PC
14974,9179531,1,3.25539,1.12e-07,132.488,2.6e-05,5.577,0.0113,UNK
8111,7031872,1,0.5668,9.28e-06,131.792,0.00252,2.036,1.11,NTP
11145,7362696,1,4.93128,7.87e-06,134.826,0.00113,1.32,0.122,AFP
28,1865567,1,0.674634,1.04e-05,131.702,0.00359,2.16,3.48,NTP
8229,7031956,1,0.566803,1.21e-05,131.805,0.00319,2.071,3.3,NTP
2809,3867256,2,1.52341,1.82e-05,131.702,0.00463,3.35,1.41,NTP
6265,6152974,1,20.172,8.6e-06,141.209,0.000355,3.293,0.0502,PC
7942,7199168,1,0.566818,0.0,131.705,0.0,1.5,0.0,NTP
7684,7115671,1,0.566783,7.89e-06,131.821,0.00184,1.789,1.03,NTP
5595,5031804,2,1.37363,1.69e-05,132.153,0.00452,5.367,1.28,AFP
13158,8182427,1,4.52845,8.3e-05,132.332,0.0131,6.821,0.185,AFP
13597,9340411,1,5.15829,6.93e-05,131.713,0.00936,7.193,1.32,UNK
12004,8553462,2,1.38524,1.76e-05,132.068,0.00485,4.28,4.4,UNK
4568,5440651,1,0.502808,2.3e-06,131.612,0.000254,0.8414,0.0144,NTP
19038,11025754,1,0.775534,7.34e-06,131.912,0.00334,3.687,9.63,NTP
1201,3730335,1,0.596076,4.74e-06,131.833,0.000732,1.053,0.114,AFP
11101,7515336,1,5.65688,5.02e-05,131.576,0.00665,3.617,0.256,PC
7867,7049860,2,3.19009,2.91e-05,134.089,0.00552,7.351,0.532,AFP
12890,8358012,1,10.0649,4.03e-05,135.238,0.00316,2.613,0.346,AFP
17524,11521793,1,27.0825,8.43e-05,137.642,0.00262,4.612,0.495,PC
9726,8095441,1,11.8745,3.26e-05,140.214,0.00219,2.121,0.404,PC
17646,11547513,2,10.1057,2.74e-05,135.509,0.00212,2.027,0.333,PC
1772,3248332,1,7.36359,3.63e-07,138.704,3.91e-05,6.115,0.00443,UNK
9308,6877871,1,0.533676,1.1e-05,131.971,0.00217,1.69,1.84,AFP
3420,3957584,1,4.46886,7.86e-05,134.151,0.0127,13.84,5.88,AFP
13965,9305574,2,0.500432,3.9e-05,131.6,0.0073,1.514,0.851,AFP
19878,11967356,1,0.536509,0.000231,131.898,0.0651,1.716,89.4,AFP
14872,8949925,1,13.2512,0.000138,141.175,0.00899,5.23,0.752,PC
9959,8026887,1,3.84594,4.56e-05,133.542,0.00814,12.67,6.63,AFP
17842,11084474,1,0.507905,0.000106,132.045,0.0113,1.193,0.853,UNK
10265,8046934,2,0.945027,1.07e-05,131.984,0.00533,3.301,2.11,UNK
12215,8703413,2,6.52649,4.59e-05,135.433,0.00493,15.73,3.5,AFP
6744,5707308,3,1.47225,1.59e-05,131.564,0.00454,4.541,1.86,UNK
3527,3836509,1,1.54038,1.97e-06,132.002,0.000316,1.665,0.017,AFP
18070,11045383,1,41.1668,1.25e-05,158.918,0.000224,2.186,0.0247,PC
7729,7009828,1,5.32123,5.02e-07,135.124,7.85e-05,7.678,0.00412,UNK
12849,8178778,1,0.957076,1.19e-05,132.45,0.00146,2.132,0.92,NTP
13633,9579818,1,0.730668,5.89e-06,131.55,0.000803,1.581,0.181,AFP
3006,3975085,2,1.48964,1.52e-05,132.216,0.00273,4.219,1.65,AFP
19287,10528564,1,408.66,0.00955,479.253,0.00856,9.935,1.46,UNK
3187,4064365,1,8.95735,5.02e-05,131.909,0.00424,5.391,0.136,AFP
9616,8125652,3,3.18345,3.17e-05,133.406,0.00618,2.913,0.273,AFP
3986,5546277,1,7.50028,9.79e-06,137.385,0.000977,2.612,0.217,AFP
17513,11415556,1,0.691044,1.18e-05,132.006,0.00247,1.148,0.297,UNK
3544,3962243,2,14.1285,6.54e-05,142.893,0.00366,3.53,0.826,PC
11153,7450360,1,0.938704,1.16e-05,131.777,0.00312,2.795,3.36,AFP
2837,4150611,5,1.43419,0.0,132.063,0.0,3.5,0.0,UNK
12963,8396062,3,1.30582,0.0,131.955,0.0,2.0,0.0,AFP
18608,10973814,2,20.3423,5.37e-05,137.698,0.00202,2.327,0.206,PC
7495,5880661,1,3.2556,2.38e-05,133.914,0.00401,5.276,0.525,NTP
2350,4847371,2,0.508305,7.33e-06,131.783,0.00146,1.329,0.395,AFP
4588,5521300,2,18.1358,0.000109,133.955,0.00505,2.58,0.484,AFP
10511,8056286,2,2.87961,6.59e-05,133.854,0.022,3.686,1.24,AFP
18429,10489345,1,1.00393,4.25e-06,132.103,0.000918,1.374,0.0498,PC
3302,3955867,3,269.264,0.00369,329.94,0.0123,24.0,1.36,UNK
11333,7379646,2,1.33588,7.74e-06,132.508,0.00312,2.124,0.329,AFP
13919,9456165,1,459.17,0.0122,260.507,0.0161,4.071,4.21,NTP
19624,11815158,1,0.534387,1.21e-05,131.597,0.00169,1.01,0.161,AFP
4646,5480040,2,4.33551,8.62e-05,135.314,0.0116,15.19,6.55,AFP
13594,9334893,2,31.8058,0.000257,150.683,0.00669,3.947,0.561,AFP
935,3441784,1,52.569,1.49e-05,132.402,0.000236,6.685,0.0173,AFP
737,2305372,1,1.40471,0.0,131.545,0.0,3.5,0.0,UNK
9752,7868967,1,12.9489,0.000118,142.445,0.00758,2.026,0.714,UNK
15838,10002866,1,3.937,2.24e-06,134.217,0.000362,1.793,0.112,PC
6973,6026737,1,10.1749,8.7e-05,132.338,0.00674,4.275,0.298,PC
18803,10537907,3,0.61362,4.12e-05,131.545,0.0148,1.507,5.82,AFP
17489,11147460,1,2.05387,3.78e-07,132.942,0.000112,4.026,0.193,AFP
2528,4770092,1,2.70461,5.23e-05,132.312,0.0121,8.528,4.63,UNK
18237,11519226,2,22.1613,7.94e-06,148.465,0.00032,3.636,0.0196,AFP
98,2970670,1,0.947537,8.94e-06,131.889,0.00162,1.058,0.113,UNK
611,2853280,4,1.65125,9.74e-06,132.223,0.00187,1.867,0.083,UNK
2844,4245701,1,1.23497,1.18e-05,131.827,0.00279,3.114,0.456,UNK
14924,8883329,2,14.6136,0.000125,140.406,0.00693,5.422,0.306,PC
3840,5428254,2,0.544752,1.22e-05,131.553,0.0158,1.973,1.69,AFP
19477,12356746,1,0.502454,9.2e-08,131.921,1.4e-05,1.616,0.00224,AFP
12560,8262409,2,0.997215,8.5e-06,131.567,0.0022,2.386,0.32,AFP
9678,8158429,1,31.7078,0.000212,138.256,0.00559,6.575,0.697,PC
14,1160891,1,0.940463,2.62e-05,132.4,0.00599,3.354,2.66,AFP
9931,7840035,1,13.542,1.6e-05,144.007,0.0013,4.895,0.0351,AFP
10651,7294598,2,0.534291,1.06e-05,131.874,0.00213,1.616,1.14,UNK
19150,10921894,2,0.615081,1.35e-05,131.734,0.00236,2.0,1.53,AFP
18038,11295085,2,2.49813,1.54e-05,131.662,0.00305,2.26,0.156,AFP
16627,9661979,1,69.8964,0.00052,160.658,0.0059,5.088,0.916,PC
3,1162345,3,0.831833,9.43e-06,131.919,0.00221,2.181,1.21,AFP
6597,6312643,1,0.709805,1.32e-05,132.229,0.0025,1.425,0.32,UNK
6156,6276477,1,10.3553,2.04e-05,139.873,0.00153,3.426,0.207,PC
9772,8022489,3,11.1725,0.000109,140.013,0.00757,6.439,0.224,PC
15450,10337441,1,495.402,0.0111,271.916,0.0147,12.78,2.52,UNK
19108,10549371,1,0.566568,8.44e-06,131.603,0.00133,1.845,0.302,UNK
2214,4731916,1,2.67107,1.81e-05,133.486,0.00356,8.393,4.2,NTP
1998,4862968,2,0.951979,9.19e-06,132.132,0.00521,2.651,0.0683,UNK
16510,9716028,1,17.3733,0.000131,138.282,0.00606,3.491,0.274,PC
5703,6452607,3,1.0411,1.62e-05,131.999,0.00629,5.051,14.5,NTP
16283,10227020,2,19.7239,0.000271,135.07,0.0111,9.02,0.538,PC
19539,12356914,3,355.013,0.0,307.543,0.0,12.0,0.0,NTP
15595,10035772,3,0.793026,1.11e-05,132.201,0.00299,2.147,2.12,AFP
16169,10264728,2,0.567575,9.72e-05,131.544,0.0616,1.91,23.3,AFP
20075,12115188,1,0.990855,3.63e-06,131.978,0.000718,1.217,0.036,AFP
895,3660476,1,2.27561,3.19e-05,131.705,0.00701,7.301,6.93,UNK
3966,5462901,2,5.27073,4.82e-07,133.546,6.8e-05,2.731,0.00532,AFP
