kepid,tce_plnt_num,tce_period,tce_period_err,tce_time0bk,tce_time0bk_err,tce_duration,tce_duration_err,av_training_set
2439469,1,21.1653,2.71E-04,137.638,1.07E-02,15.21,9.42E-01,UNK
2439660,1,0.668328,8.07E-02,131.84,2.73E+01,1.789,4.16E+02,UNK
2554853,1,3.51468,4.53E-05,132.251,7.57E-03,4.885,9.29E-01,AFP
2554853,2,3.51349,5.60E-05,133.85,1.01E-02,7.943,2.22E+00,AFP
2554867,1,2.4894,2.83E-05,133.193,4.69E-03,6.558,1.08E+00,UNK
2554867,2,0.723891,1.61E-05,132.122,2.67E-03,2.489,1.16E+00,AFP
2578072,1,0.968246,1.60E-05,132.411,7.15E-03,6.848,1.83E+01,AFP
2578077,1,1.87905,1.57E-05,133.276,4.15E-03,5.695,8.13E-01,AFP
2578077,2,1.87845,1.46E-05,132.8,3.92E-03,4.979,2.60E+00,AFP
2693092,2,39.8415,1.27E-05,141.997,2.68E-04,7.328,1.27E-02,AFP
2693097,1,1.41352,1.51E-05,132.125,2.90E-03,4.822,2.38E+00,NTP
2693097,2,4.24047,1.70E-05,132.84,2.47E-03,7.312,3.42E-01,NTP
2693097,3,2.82707,1.74E-05,132.827,3.21E-03,8.768,2.49E+00,NTP
2714932,1,1.93658,1.87E-05,133.363,4.88E-03,6.319,4.39E+00,AFP
2714932,2,1.93652,1.79E-05,132.486,4.70E-03,6.076,5.42E+00,AFP
2714947,1,0.968245,9.86E-06,132.456,3.45E-03,5.362,1.09E+01,AFP
2714954,1,0.968155,2.90E-05,132.518,1.42E-02,1.23,4.43E-01,AFP
2721129,1,550.335,1.09E-02,366.943,1.24E-02,11.28,2.18E+00,UNK
2721129,2,299.74,8.65E-03,305.118,2.45E-02,6.614,2.26E+00,UNK
2721835,1,1.45433,2.61E-05,132.138,9.08E-03,5.705,8.25E+00,UNK
2722074,1,1.93859,2.06E-05,131.79,5.73E-03,7.168,7.31E+00,NTP
2854698,1,8.18736,1.35E-05,138.061,1.26E-03,3.019,2.26E-01,PC
2854698,2,76.051,5.61E-04,161.706,5.87E-03,6.691,9.49E-01,PC
2854914,1,25.9341,8.09E-05,149.761,2.60E-03,4.779,3.33E-01,PC
2854914,2,83.4463,3.88E-04,158.682,3.99E-03,6.621,7.04E-01,PC
2987660,1,0.508591,5.45E-05,131.57,1.39E-02,1.489,1.63E+01,UNK
2987660,2,0.904939,1.38E-05,132.327,6.08E-03,5.193,1.90E+01,NTP
2988145,1,1.23358,0.00E+00,132.362,0.00E+00,4.5,0.00E+00,AFP
2988145,2,1.23355,1.18E-05,131.563,4.31E-03,4.36,5.46E+00,AFP
1575977,1,2.54043,1.32E-05,132.81,1.87E-03,4.918,2.43E-01,UNK
2992648,1,1.07736,9.23E-06,131.895,2.75E-03,2.367,1.40E+00,UNK
2992648,2,3.23279,7.18E-05,133.681,2.37E-02,5.294,3.64E-01,AFP
2992648,3,3.23213,3.94E-05,132.619,7.31E-03,6.282,2.69E+00,AFP
2855603,2,0.758263,9.47E-06,131.955,2.37E-03,2.344,2.95E+00,AFP
2855680,1,1.69338,1.69E-05,132.158,4.64E-03,5.273,2.71E+00,UNK
2855680,2,0.564462,1.04E-05,131.546,3.84E-03,3.532,1.29E+01,UNK
2856756,1,0.641049,4.82E-06,131.645,1.57E-03,1.891,3.62E-01,AFP
2857323,2,0.548762,7.35E-06,131.962,1.68E-03,1.342,3.45E-01,AFP
2857607,1,41.8668,4.65E-04,147.006,9.38E-03,5.656,1.07E+00,PC
2857722,1,0.630084,1.11E-05,132.139,1.87E-03,1.11,1.76E-01,AFP
2857722,2,0.630087,1.20E-05,131.709,1.73E-03,0.8888,8.52E-02,AFP
2860114,1,0.941598,1.99E-06,132.037,3.58E-04,0.9807,2.77E-02,AFP
2860594,1,5.49994,1.71E-07,132.816,2.65E-05,10.08,1.46E-03,AFP
2860594,2,2.74997,4.21E-07,132.819,1.09E-04,9.121,3.32E-03,UNK
2860594,3,5.50026,2.11E-05,136.528,2.81E-03,15.24,8.52E-01,AFP
2860594,4,5.50012,0.00E+00,134.535,0.00E+00,15,0.00E+00,AFP
2307199,2,13.4457,2.45E-04,133.221,1.86E-02,21.53,1.37E+00,AFP
2860851,1,1.19676,1.60E-05,132.024,8.72E-03,1.656,2.49E-01,AFP
2860851,2,1.19686,1.37E-05,132.548,7.54E-03,1.8,1.02E-01,AFP
2439798,1,459.313,1.16E-02,260.216,1.12E-02,2.587,2.31E+00,NTP
2969628,2,1.97363,9.98E-06,131.957,2.21E-03,1.905,7.11E-02,AFP
2969628,3,1.97363,1.54E-05,132.653,3.03E-03,1.789,9.99E-02,AFP
2969638,1,1.97361,1.83E-05,131.935,6.83E-03,3.286,1.49E-01,AFP
2554867,3,0.72386,9.65E-06,131.837,1.72E-03,2.967,2.37E+00,AFP
2970670,1,0.947537,8.94E-06,131.889,1.62E-03,1.058,1.13E-01,UNK
2970804,1,0.686988,5.61E-06,131.667,9.49E-04,1.301,1.81E-01,AFP
2970804,2,2.02126,2.01E-05,133.039,5.19E-03,6.833,7.97E+00,UNK
2971415,2,7.35389,1.15E-04,136.198,1.20E-02,15.45,2.36E+00,AFP
2971415,3,3.67731,7.96E-05,134.194,1.60E-02,10.85,5.22E+00,UNK
2972005,1,2.79666,2.45E-05,131.88,6.09E-03,1.957,4.57E-01,UNK
2972005,2,4.19539,3.17E-04,134.393,5.72E-02,14.39,4.06E+00,UNK
2693450,1,0.847716,9.31E-06,131.731,2.87E-03,3.172,1.65E+00,AFP
2974815,1,0.731707,1.15E-05,131.968,2.33E-03,1.064,1.47E-01,UNK
2974858,1,0.996298,2.07E-05,131.835,5.90E-03,3.803,7.90E+00,NTP
2975770,1,71.5254,7.56E-05,191.691,7.97E-04,5.972,1.71E-01,PC
2714955,1,0.982769,1.20E-05,132.08,5.07E-03,5.315,1.76E+01,NTP
2984505,1,3.04949,2.15E-05,132.692,4.11E-03,5.135,1.07E+00,UNK
2985022,1,0.58119,7.45E-06,131.52,1.25E-03,1.925,7.61E-01,UNK
2985398,1,0.582576,1.31E-05,131.682,2.31E-03,1.251,4.34E-01,AFP
2985398,2,0.581897,3.58E-05,132.026,5.29E-03,0.6458,2.58E-01,AFP
2985587,1,3.37572,7.93E-06,134.213,1.32E-03,1.293,2.53E-01,PC
2985767,1,14.0797,2.57E-05,139.958,1.61E-03,1.44,2.17E-01,PC
2988145,3,1.78835,3.63E-05,133.328,1.17E-02,4.379,1.41E-01,UNK
2988768,1,459.312,5.90E-03,260.216,8.44E-03,3.797,6.91E-01,NTP
2988783,1,0.766194,7.40E-06,131.777,1.40E-03,1.918,2.98E-01,UNK
2989404,1,3.55382,4.02E-06,134.644,7.39E-04,3.036,3.85E-02,PC
1293379,1,27.5557,8.68E-04,132.201,2.77E-02,9.514,3.02E+00,UNK
1294670,1,0.593624,9.70E-06,131.759,4.10E-03,1.855,6.25E+00,AFP
1294670,2,0.593647,9.90E-06,132.05,2.87E-03,2.318,3.48E+00,AFP
1294756,1,0.53025,1.11E-05,131.971,3.08E-03,2.75,3.86E+00,UNK
1575977,2,1.08868,1.19E-05,131.724,1.77E-03,3.385,1.29E+00,UNK
1575977,3,0.693727,0.00E+00,131.803,0.00E+00,2.5,0.00E+00,UNK
1576115,1,5.44317,8.65E-05,135.635,1.30E-02,7.416,2.90E-01,UNK
1576115,2,1.81441,2.40E-05,132.603,9.75E-03,3.315,9.77E-01,AFP
1866252,1,0.700471,1.97E-05,132.17,4.06E-03,1.316,3.78E-01,UNK
1867078,1,620.929,2.48E-02,349.558,4.27E-02,41.67,1.07E+01,UNK
1867630,1,1.38953,6.46E-05,131.995,1.98E-02,6.144,4.50E+01,NTP
1868918,1,0.583637,1.64E-05,131.876,4.03E-03,1.826,8.31E-01,UNK
2019477,2,20.5715,4.16E-04,149.246,1.73E-02,14.5,5.44E-01,PC
2019477,3,1.511,1.71E-05,132.128,6.02E-03,6.155,7.36E+00,UNK
2019477,4,3.02213,5.75E-05,134.327,1.26E-02,9.04,8.17E+00,NTP
2020444,1,0.506371,1.02E-05,132.001,1.22E-03,1.736,9.48E-01,UNK
2167783,2,0.516584,1.15E-05,131.698,1.87E-03,1.681,1.03E+00,UNK
2167890,1,2.64829,3.23E-07,133.038,6.45E-05,2.649,5.95E-03,AFP
2167890,2,2.64828,3.09E-06,131.718,4.73E-04,1.916,1.03E-01,AFP
2168333,1,0.596465,8.75E-06,131.901,2.02E-03,2,9.81E-01,UNK
2307206,1,204.029,0.00E+00,253.54,0.00E+00,10.5,0.00E+00,AFP
2307206,2,204.033,6.12E-05,152.963,2.82E-04,11.69,3.06E-02,AFP
2307415,1,4.61264,1.08E-05,132.782,1.68E-03,3.075,9.55E-02,PC
2307415,2,13.1216,4.16E-05,133.394,2.56E-03,3.504,1.88E-01,PC
2440757,1,2.86751,3.43E-06,131.696,5.56E-04,0.9959,6.95E-02,AFP
2440757,2,2.8675,7.27E-06,133.132,1.01E-03,0.7864,3.20E-01,AFP
2441151,1,2.19199,1.82E-06,132.22,4.34E-04,2.273,4.67E-02,AFP
2441161,1,2.19202,1.88E-07,132.212,5.41E-05,3.017,5.25E-03,AFP
2556639,1,2.48127,3.77E-05,132.978,1.10E-02,6.555,2.28E-01,UNK
2556650,1,2.85236,3.02E-06,132.043,4.28E-04,0.8872,1.82E-01,PC
2557335,1,0.52007,9.55E-06,131.85,5.78E-03,1.366,6.20E-01,UNK
2557335,2,0.583008,0.00E+00,131.986,0.00E+00,1.5,0.00E+00,UNK
2578404,1,0.872278,4.34E-06,132.028,2.10E-03,4.317,6.30E+00,AFP
2578404,2,0.872247,7.68E-06,132.266,8.43E-03,3.171,5.12E-01,AFP
2578404,3,0.595526,0.00E+00,131.927,0.00E+00,1.5,0.00E+00,UNK
2578811,1,6.20972,3.09E-05,135.254,3.70E-03,2.768,1.31E-01,NTP
2578891,1,2.32728,1.31E-05,132.235,3.04E-03,3.182,1.92E-01,NTP
2693450,2,0.847666,1.40E-05,132.188,5.13E-03,2.875,7.54E+00,AFP
2693736,1,12.124,3.13E-05,134.956,2.14E-03,3.307,4.34E-01,PC
2694337,1,0.812927,9.47E-05,131.928,2.99E-02,2.177,2.60E+00,AFP
2694337,2,0.812865,9.17E-05,132.269,8.65E-02,6.151,1.11E+02,AFP
2715053,1,0.968256,1.22E-05,131.505,4.54E-03,4.51,1.00E+01,AFP
2715113,1,0.968253,1.15E-05,132.441,4.90E-03,5.039,1.71E+01,AFP
2715119,1,0.968286,1.09E-05,132.454,3.88E-03,3.561,3.26E+00,AFP
2715135,1,5.74772,5.86E-06,133.298,7.26E-04,1.884,7.73E-02,PC
2830919,1,1.54039,9.23E-06,132.005,2.41E-03,1.876,1.32E-01,AFP
2831048,1,497.66,1.79E-02,186.989,2.32E-02,25.77,1.89E+00,UNK
2831055,1,2.20925,1.18E-05,131.901,2.96E-03,2.607,1.44E-01,PC
2831097,1,0.931998,1.35E-05,132.344,1.58E-03,1.371,6.03E-02,UNK
2854927,1,6.5938,2.48E-04,134.682,3.09E-02,12.71,3.18E+00,UNK
2854948,1,0.974299,3.12E-06,132.386,4.65E-04,0.9358,9.34E-02,NTP
2854953,1,0.862334,3.04E-05,131.847,1.10E-02,2.431,2.73E+00,UNK
2854953,2,1.7248,1.81E-05,133.144,5.23E-03,3.716,3.12E+00,NTP
1295289,1,459.319,1.15E-02,260.207,1.83E-02,3.95,1.53E+00,NTP
1295546,1,1.96443,3.98E-05,133.301,9.76E-03,3.723,4.66E+00,AFP
1295546,2,1.96449,9.79E-05,132.233,2.50E-02,11.41,6.38E+01,AFP
1296164,1,1.96786,2.72E-02,132.225,3.14E+00,0.5097,8.36E+01,AFP
1576115,3,1.81438,2.48E-05,133.205,1.02E-02,3.492,7.53E-01,AFP
1576115,4,1.8143,0.00E+00,132.012,0.00E+00,6,0.00E+00,AFP
1576141,1,2.6868,1.07E-04,133.608,2.73E-02,8.951,2.67E+01,UNK
1576144,1,2.68671,6.48E-06,132.152,1.22E-03,1.867,4.37E-02,AFP
1869607,1,12.0604,2.81E-04,135.979,1.89E-02,19.8,2.90E-01,AFP
1869607,2,12.0587,1.89E-04,133.893,1.30E-02,17.35,1.08E+00,AFP
1870398,1,43.1593,9.05E-04,132.029,1.76E-02,21.26,1.14E+00,PC
1870849,1,0.53452,6.79E-06,131.976,1.34E-03,1.501,5.14E-01,AFP
2021099,1,1.47235,1.59E-05,132.347,4.76E-03,3.49,2.54E+00,UNK
2021100,1,0.866395,1.31E-05,131.546,4.11E-03,2.442,1.02E+00,UNK
2021100,2,1.73132,1.71E-05,132.207,4.69E-03,2.986,6.49E-01,UNK
2021440,1,7.81154,3.62E-05,136.327,3.84E-03,5.339,1.80E-01,AFP
2168333,2,0.629072,6.57E-06,131.733,3.65E-03,1.164,5.65E-02,NTP
2168333,3,1.22463,3.66E-05,131.677,1.08E-02,3.279,3.92E+00,UNK
2168420,1,0.952009,1.60E-05,131.817,1.05E-02,1.749,1.46E-01,UNK
2168420,2,1.44681,2.70E-05,132.845,1.20E-02,3.86,4.91E-01,UNK
2307533,1,3.76213,3.05E-05,134.266,5.28E-03,4.358,2.74E-01,AFP
2307533,2,1.25412,3.48E-05,132.013,1.27E-02,3.993,1.21E+01,UNK
2307533,3,3.76232,4.33E-05,135.231,7.70E-03,7.347,2.49E+00,AFP
2308603,1,459.313,1.09E-02,260.213,1.58E-02,6.118,2.36E+00,NTP
2441470,1,681.014,4.20E-03,228.77,6.72E-03,8.337,7.80E-01,UNK
2441495,1,12.4934,1.25E-05,138.462,8.21E-04,2.238,1.16E-01,PC
2441728,1,0.85688,2.67E-06,131.969,6.04E-04,1.277,1.23E-01,AFP
2557350,1,3.09874,1.76E-05,134.389,3.39E-03,1.838,3.90E-01,UNK
2557430,1,0.648868,1.62E-07,131.845,2.70E-05,1.94,3.19E-03,UNK
2557555,1,0.633901,2.92E-05,132.071,2.89E-03,1.38,3.53E-01,UNK
2557816,1,9.37889,2.18E-05,138.938,1.84E-03,3.328,3.29E-01,PC
2578901,1,2.32694,2.17E-05,132.72,5.04E-03,1.916,2.13E-01,AFP
2578901,2,2.32852,3.78E-05,131.776,9.84E-03,7.23,8.06E+00,AFP
2578901,3,1.16303,1.61E-05,132.514,6.78E-03,4.214,1.01E+01,UNK
2695030,1,0.678443,1.19E-05,131.959,5.98E-03,2.102,4.65E+00,AFP
2695030,2,0.678468,9.05E-06,131.607,3.67E-03,2.496,5.19E+00,AFP
2695110,1,44.1894,7.79E-05,165.801,1.48E-03,6.733,1.05E-01,AFP
2696703,1,6.09405,7.46E-07,133.66,8.28E-05,1.81,8.11E-01,PC
2715135,2,0.968314,1.39E-05,132.349,5.93E-03,6.073,6.84E+00,AFP
2715228,1,0.968208,1.54E-05,132.463,6.44E-03,3.071,8.29E+00,AFP
2715245,1,1.93654,3.62E-05,133.401,1.04E-02,5.276,4.62E+00,AFP
2831251,1,5.8131,4.99E-05,131.531,6.38E-03,3.662,2.41E-01,AFP
2832589,1,10.8497,2.89E-05,136.744,2.18E-03,3.842,1.90E-01,PC
2832753,1,3.5511,2.60E-05,134.926,4.48E-03,5.849,8.89E-01,AFP
2832753,2,3.55131,2.24E-05,132.289,3.97E-03,4.369,3.98E-01,AFP
2856756,2,0.640994,8.98E-06,131.862,3.45E-03,1.991,3.31E+00,AFP
2856756,3,0.641043,1.61E-05,132.078,2.97E-03,1.448,6.84E-01,AFP
2856960,1,204.304,6.59E-04,164.603,2.45E-03,32.33,1.43E-01,UNK
2857323,1,0.548548,4.49E-05,131.906,1.88E-02,1.789,1.10E+01,AFP
1296164,2,1.96089,4.09E-05,132.352,1.55E-02,2.722,2.16E-01,AFP
1296164,3,1.96131,3.21E-05,133.129,8.60E-03,5.339,4.91E+00,AFP
1296721,1,2.60902,8.63E-05,133.515,2.07E-02,6.68,1.01E+01,UNK
1429120,1,0.760632,1.25E-05,132.258,2.80E-03,1.479,2.69E-01,AFP
1576144,2,2.68674,8.43E-06,132.362,1.63E-03,1.978,5.62E-02,AFP
1576144,3,553.98,2.49E-02,181.469,3.48E-02,4.378,2.24E+00,UNK
1576144,4,1.34333,1.14E-05,132.002,1.85E-03,1.359,5.57E-02,UNK
1576144,5,303.479,0.00E+00,406.833,0.00E+00,7.5,0.00E+00,UNK
1870849,2,0.796828,5.54E-06,132.073,1.84E-03,2.534,1.41E+00,AFP
1870849,3,0.796837,1.12E-05,131.769,3.03E-03,2.439,1.65E+00,AFP
1870849,4,0.534527,0.00E+00,131.605,0.00E+00,1.5,0.00E+00,AFP
1871056,1,40.8063,1.99E-04,155.721,3.84E-03,13.17,6.28E-01,PC
2021440,2,7.81157,3.10E-05,131.53,3.06E-03,2.908,6.21E-01,AFP
2140360,1,0.967455,6.85E-06,132.245,1.05E-03,1.838,4.18E-01,UNK
2141783,1,116.52,4.80E-04,144.147,3.47E-03,3.563,1.13E+00,PC
2282763,1,1.05344,4.84E-05,131.592,7.87E-03,3.19,8.01E+00,NTP
2282763,2,0.688266,1.16E-05,131.723,1.59E-03,1.598,2.70E-01,NTP
2282763,3,3.76167,2.35E-05,133.821,3.29E-03,2.766,1.79E-01,NTP
2308957,1,1.10982,0.00E+00,132.165,0.00E+00,3.5,0.00E+00,NTP
2309568,1,373.85,8.36E-03,430.816,1.70E-02,12.18,1.91E+00,NTP
2309568,2,5.47403,8.28E-05,132.68,1.13E-02,14.51,6.39E+00,NTP
2309579,1,1.04369,1.13E-05,132.548,2.92E-03,3.327,1.45E+00,AFP
2442084,1,49.7886,3.67E-06,175.193,6.35E-05,7.398,3.29E-03,AFP
2442084,2,49.7886,3.56E-06,134.385,6.07E-05,3.776,1.08E-02,AFP
2442118,1,1.22148,9.62E-06,132.013,2.90E-03,3.905,1.53E+00,AFP
2442118,2,1.22172,2.78E-05,132.725,2.68E-02,2.669,1.43E+00,AFP
2442359,1,0.552831,4.89E-06,131.757,7.77E-04,1.176,2.01E-01,AFP
2558163,1,17.5436,2.58E-04,138.919,1.22E-02,6.894,1.58E+00,PC
2558363,1,0.546234,7.56E-06,131.598,1.12E-03,1.05,1.32E-01,AFP
2558370,1,0.54625,3.13E-06,131.581,2.62E-04,1.073,4.54E-02,PC
2579043,1,6.31216,2.18E-05,136.936,2.64E-03,4.847,3.87E-01,PC
2579147,1,7.35291,4.19E-05,134.201,3.99E-03,12.5,6.66E-01,AFP
2579147,2,14.7061,7.70E-05,144.903,4.14E-03,15.51,2.84E-01,NTP
2579147,3,7.35317,3.90E-05,132.269,3.75E-03,15.04,2.04E-01,AFP
2579147,4,1.33664,0.00E+00,132.243,0.00E+00,5,0.00E+00,UNK
2696938,1,573.587,1.33E-02,131.578,2.55E-02,10.46,2.42E+00,NTP
2697935,1,21.5129,4.52E-05,132.468,1.85E-03,3.479,7.85E-01,UNK
2706947,1,2.57772,4.83E-05,133.816,1.13E-02,8.244,5.51E+00,UNK
2707097,1,0.692797,3.21E-07,131.897,3.41E-05,0.5059,1.18E-02,AFP
2715282,1,0.968163,1.67E-05,132.491,7.08E-03,5.249,1.88E+01,AFP
2715398,1,0.968354,1.62E-05,132.341,6.99E-03,4.116,1.22E+01,AFP
2715487,1,0.700442,8.72E-06,131.88,1.95E-03,1.615,4.76E-01,AFP
2715487,2,0.700452,1.22E-05,132.064,3.64E-03,1.709,2.35E+00,AFP
2833554,1,2.08014,1.78E-05,133.347,4.60E-03,5.775,1.95E+00,AFP
2833554,2,2.08023,2.02E-05,132.257,5.21E-03,7.487,5.32E+00,AFP
2834463,1,5.88843,2.34E-05,136.022,2.78E-03,1.06,1.42E-01,UNK
2857722,3,0.630106,1.25E-05,131.901,1.16E-03,0.717,4.34E-02,AFP
2858134,1,494.127,4.29E-02,257.587,7.27E-02,2.763,4.34E+00,UNK
2859299,1,0.643683,1.19E-05,131.992,1.88E-03,0.9114,9.48E-02,AFP
2859299,2,0.643679,1.42E-05,131.68,2.47E-03,1.023,1.46E-01,AFP
1429120,2,0.760636,9.45E-06,131.907,3.44E-03,3.041,4.43E+00,AFP
1429589,1,38.1688,6.93E-04,144.468,1.49E-02,6.769,1.11E+00,PC
1429653,1,2.33824,2.36E-05,133.096,6.35E-03,6.703,2.64E+00,AFP
1576558,1,3.79584,5.75E-05,134.649,1.01E-02,15.38,9.26E+00,NTP
1577039,1,3.07312,2.03E-05,132.668,3.19E-03,4.649,2.01E-01,AFP
1577039,2,3.07306,1.22E-05,133.824,1.79E-03,2.368,1.74E-01,AFP
1871056,2,140.103,1.59E-03,216.217,7.46E-03,17.94,1.06E+00,PC
1871483,1,14.1374,1.38E-04,136.683,8.36E-03,2.247,5.03E-01,UNK
1872262,1,0.750956,1.07E-05,132.279,3.62E-03,3.626,7.26E+00,UNK
2141938,1,1.2538,1.23E-05,132.448,3.91E-03,2.688,9.23E-01,AFP
2141938,2,1.25373,1.59E-05,131.946,5.80E-03,4.735,8.44E+00,AFP
2142522,1,13.3235,7.12E-05,134.037,4.25E-03,3.952,5.26E-01,PC
2156514,1,1.58556,1.46E-05,132.918,3.56E-03,3.646,1.56E+00,UNK
2283124,1,0.611056,1.09E-05,132.097,1.87E-03,1.468,8.82E-01,AFP
2283124,2,0.611014,1.77E-05,131.778,4.09E-03,2.067,1.21E+00,AFP
2283124,3,1.22208,1.48E-05,132.552,2.88E-03,1.698,5.76E-01,UNK
2283362,1,0.673138,9.80E-06,131.69,1.62E-03,1.07,1.60E-01,AFP
2309579,2,1.04366,9.41E-06,131.779,2.79E-03,2.109,3.27E-01,AFP
2309585,1,1.83852,0.00E+00,132.095,0.00E+00,1.5,0.00E+00,AFP
2309587,1,1.83851,2.70E-08,132.102,6.38E-06,3.109,6.35E-04,AFP
2309587,2,0.919256,0.00E+00,132.101,0.00E+00,2,0.00E+00,UNK
2309719,1,54.3563,1.34E-05,164.07,2.02E-04,6.378,1.34E-02,PC
2442448,1,76.6135,6.13E-04,153.799,6.85E-03,9.547,9.73E-01,PC
2442551,1,453.951,6.11E-03,504.679,9.49E-03,9.721,1.49E+00,UNK
2443393,1,73.7097,8.82E-04,202.806,9.63E-03,10.36,7.75E-01,PC
2443753,1,0.864109,1.21E-05,131.601,5.60E-03,4.741,1.73E+01,UNK
2558488,1,1.28785,3.06E-05,132.403,1.21E-02,3.514,1.33E+00,NTP
2568519,1,0.916937,0.00E+00,131.824,0.00E+00,3.5,0.00E+00,UNK
2568971,1,5.08857,2.14E-05,134.059,3.51E-03,4.612,2.96E-01,NTP
2568971,2,2.54433,1.29E-05,133.97,2.89E-03,3.374,2.55E-01,UNK
2568971,3,0.848111,8.64E-06,131.821,2.62E-03,2.62,2.63E+00,UNK
2579814,1,2.79091,7.01E-05,133.906,1.68E-02,11.37,2.42E+01,NTP
2579906,1,0.640756,1.37E-05,131.533,3.07E-03,1.791,2.29E+00,UNK
2580613,1,3.00609,4.66E-05,131.566,1.01E-02,6.869,4.32E+00,UNK
2580872,1,15.9266,0.00E+00,145.552,0.00E+00,5,0.00E+00,AFP
2707479,1,0.752174,1.88E-05,131.657,4.00E-03,2.511,3.00E+00,UNK
2707479,2,0.950029,1.46E-05,132.165,4.32E-03,3.034,1.14E+00,AFP
2707479,3,0.95013,0.00E+00,131.606,0.00E+00,3.5,0.00E+00,AFP
2707916,1,1.89129,1.14E-05,132.676,4.30E-03,3.549,2.65E-01,AFP
2715695,1,4.0958,1.80E-05,131.618,2.98E-03,1.726,8.63E-01,PC
2715695,2,7.55877,3.31E-05,137.966,3.42E-03,1.108,2.30E-01,PC
2716801,1,42.5215,4.91E-04,136.134,9.75E-03,6.096,7.18E-01,PC
2716801,2,9.47661,1.35E-04,134.735,1.16E-02,4.404,9.05E-01,UNK
2835657,1,0.761739,1.20E-05,131.957,1.77E-03,1.458,7.01E-01,NTP
